Congress,Directory,ID,Number,Subtype,Summary,Type,Version,to_use
114,./data/114/bills/hr/hr6066/text-versions/ih,114_HR6066_IH,HR6066,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1923/text-versions/ih,115_HR1923_IH,HR1923,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5403/text-versions/ih,114_HR5403_IH,HR5403,HR,1,Bills,IH,1
115,./data/115/bills/s/s1034/text-versions/is,115_S1034_IS,S1034,S,1,Bills,IS,1
115,./data/115/bills/s/s438/text-versions/is,115_S438_IS,S438,S,1,Bills,IS,1
113,./data/113/bills/hr/hr1594/text-versions/ih,113_HR1594_IH,HR1594,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1118/text-versions/ih,114_HR1118_IH,HR1118,HR,1,Bills,IH,1
113,./data/113/bills/s/s3011/text-versions/is,113_S3011_IS,S3011,S,1,Bills,IS,1
114,./data/114/bills/s/s1209/text-versions/is,114_S1209_IS,S1209,S,1,Bills,IS,1
113,./data/113/bills/s/s1938/text-versions/is,113_S1938_IS,S1938,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3520/text-versions/ih,113_HR3520_IH,HR3520,HR,1,Bills,IH,1
115,./data/115/bills/s/s852/text-versions/is,115_S852_IS,S852,S,1,Bills,IS,1
113,./data/113/bills/hr/hr2246/text-versions/ih,113_HR2246_IH,HR2246,HR,1,Bills,IH,1
114,./data/114/bills/s/s2116/text-versions/is,114_S2116_IS,S2116,S,1,Bills,IS,1
114,./data/114/bills/s/s625/text-versions/pcs,114_S625_PCS,S625,S,1,Bills,PCS,1
114,./data/114/bills/hr/hr464/text-versions/ih,114_HR464_IH,HR464,HR,1,Bills,IH,1
114,./data/114/bills/s/s2377/text-versions/is,114_S2377_IS,S2377,S,1,Bills,IS,1
113,./data/113/bills/s/s2703/text-versions/is,113_S2703_IS,S2703,S,1,Bills,IS,1
114,./data/114/bills/hr/hr5908/text-versions/ih,114_HR5908_IH,HR5908,HR,1,Bills,IH,1
114,./data/114/bills/s/s3425/text-versions/is,114_S3425_IS,S3425,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2048/text-versions/enr,114_HR2048_ENR,HR2048,HR,1,Bills,ENR,1
114,./data/114/bills/hr/hr4774/text-versions/ih,114_HR4774_IH,HR4774,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4629/text-versions/ih,113_HR4629_IH,HR4629,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr578/text-versions/ih,114_HR578_IH,HR578,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3902/text-versions/ih,113_HR3902_IH,HR3902,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1639/text-versions/ih,113_HR1639_IH,HR1639,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3803/text-versions/ih,114_HR3803_IH,HR3803,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1141/text-versions/ih,113_HR1141_IH,HR1141,HR,1,Bills,IH,1
113,./data/113/bills/s/s553/text-versions/is,113_S553_IS,S553,S,1,Bills,IS,1
113,./data/113/bills/hr/hr2280/text-versions/ih,113_HR2280_IH,HR2280,HR,1,Bills,IH,1
