Congress,Directory,ID,Number,Subtype,Summary,Type,Version,to_use
114,./data/114/bills/hr/hr5665/text-versions/ih,114_HR5665_IH,HR5665,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1106/text-versions/ih,114_HR1106_IH,HR1106,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1497/text-versions/ih,114_HR1497_IH,HR1497,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4683/text-versions/ih,114_HR4683_IH,HR4683,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr814/text-versions/ih,114_HR814_IH,HR814,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr2236/text-versions/ih,115_HR2236_IH,HR2236,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4393/text-versions/ih,113_HR4393_IH,HR4393,HR,1,Bills,IH,1
113,./data/113/bills/s/s739/text-versions/is,113_S739_IS,S739,S,1,Bills,IS,1
115,./data/115/bills/hr/hr3155/text-versions/ih,115_HR3155_IH,HR3155,HR,1,Bills,IH,1
113,./data/113/bills/s/s871/text-versions/is,113_S871_IS,S871,S,1,Bills,IS,1
113,./data/113/bills/s/s1248/text-versions/is,113_S1248_IS,S1248,S,1,Bills,IS,1
114,./data/114/bills/hr/hr5379/text-versions/ih,114_HR5379_IH,HR5379,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1282/text-versions/ih,113_HR1282_IH,HR1282,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2176/text-versions/ih,113_HR2176_IH,HR2176,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr759/text-versions/rh,114_HR759_RH,HR759,HR,1,Bills,RH,1
115,./data/115/bills/s/s347/text-versions/is,115_S347_IS,S347,S,1,Bills,IS,1
114,./data/114/bills/s/s237/text-versions/is,114_S237_IS,S237,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3001/text-versions/ih,114_HR3001_IH,HR3001,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr217/text-versions/ih,114_HR217_IH,HR217,HR,1,Bills,IH,1
113,./data/113/bills/s/s363/text-versions/rh,113_S363_RH,S363,S,1,Bills,RH,1
114,./data/114/bills/s/s81/text-versions/is,114_S81_IS,S81,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3781/text-versions/ih,113_HR3781_IH,HR3781,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5292/text-versions/ih,113_HR5292_IH,HR5292,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1093/text-versions/ih,113_HR1093_IH,HR1093,HR,1,Bills,IH,1
113,./data/113/bills/s/s2672/text-versions/is,113_S2672_IS,S2672,S,1,Bills,IS,1
114,./data/114/bills/hr/hr6421/text-versions/ih,114_HR6421_IH,HR6421,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4776/text-versions/ih,114_HR4776_IH,HR4776,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1826/text-versions/ih,114_HR1826_IH,HR1826,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1857/text-versions/ih,115_HR1857_IH,HR1857,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3194/text-versions/ih,114_HR3194_IH,HR3194,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4291/text-versions/ih,114_HR4291_IH,HR4291,HR,1,Bills,IH,1
114,./data/114/bills/s/s1207/text-versions/is,114_S1207_IS,S1207,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4336/text-versions/ih,113_HR4336_IH,HR4336,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3690/text-versions/ih,115_HR3690_IH,HR3690,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr183/text-versions/ih,115_HR183_IH,HR183,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr2254/text-versions/ih,115_HR2254_IH,HR2254,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3897/text-versions/ih,113_HR3897_IH,HR3897,HR,1,Bills,IH,1
113,./data/113/bills/s/s1659/text-versions/is,113_S1659_IS,S1659,S,1,Bills,IS,1
114,./data/114/bills/s/s2418/text-versions/is,114_S2418_IS,S2418,S,1,Bills,IS,1
113,./data/113/bills/hr/hr5687/text-versions/enr,113_HR5687_ENR,HR5687,HR,1,Bills,ENR,1
113,./data/113/bills/hr/hr3472/text-versions/enr,113_HR3472_ENR,HR3472,HR,1,Bills,ENR,1
115,./data/115/bills/s/s1619/text-versions/is,115_S1619_IS,S1619,S,1,Bills,IS,1
113,./data/113/bills/s/s1962/text-versions/is,113_S1962_IS,S1962,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4233/text-versions/ih,113_HR4233_IH,HR4233,HR,1,Bills,IH,1
113,./data/113/bills/s/s2912/text-versions/cps,113_S2912_CPS,S2912,S,1,Bills,CPS,1
114,./data/114/bills/hr/hr2064/text-versions/rh,114_HR2064_RH,HR2064,HR,1,Bills,RH,1
114,./data/114/bills/s/s1428/text-versions/is,114_S1428_IS,S1428,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3692/text-versions/ih,114_HR3692_IH,HR3692,HR,1,Bills,IH,1
113,./data/113/bills/s/s1389/text-versions/is,113_S1389_IS,S1389,S,1,Bills,IS,1
114,./data/114/bills/hr/hr4918/text-versions/ih,114_HR4918_IH,HR4918,HR,1,Bills,IH,1
113,./data/113/bills/s/s562/text-versions/is,113_S562_IS,S562,S,1,Bills,IS,1
113,./data/113/bills/s/s1072/text-versions/is,113_S1072_IS,S1072,S,1,Bills,IS,1
115,./data/115/bills/s/s885/text-versions/is,115_S885_IS,S885,S,1,Bills,IS,1
115,./data/115/bills/hr/hr2541/text-versions/ih,115_HR2541_IH,HR2541,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3677/text-versions/ih,113_HR3677_IH,HR3677,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3729/text-versions/ih,114_HR3729_IH,HR3729,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr762/text-versions/ih,113_HR762_IH,HR762,HR,1,Bills,IH,1
115,./data/115/bills/s/s550/text-versions/is,115_S550_IS,S550,S,1,Bills,IS,1
114,./data/114/bills/hr/hr1649/text-versions/ih,114_HR1649_IH,HR1649,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr662/text-versions/ih,113_HR662_IH,HR662,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3506/text-versions/ih,114_HR3506_IH,HR3506,HR,1,Bills,IH,1
