Congress,Number,Directory,ID,Subtype,Summary,Type,Version
115,SRES290,./data/115/bills/sres/sres290/text-versions/ats,115_SRES290_ATS,SRES,1,Simple Resolutions,ATS
115,HR2522,./data/115/bills/hr/hr2522/text-versions/ih,115_HR2522_IH,HR,1,Bills,IH
115,HR280,./data/115/bills/hr/hr280/text-versions/ih,115_HR280_IH,HR,1,Bills,IH
115,HR944,./data/115/bills/hr/hr944/text-versions/ih,115_HR944_IH,HR,1,Bills,IH
115,HR3141,./data/115/bills/hr/hr3141/text-versions/ih,115_HR3141_IH,HR,1,Bills,IH
115,SRES216,./data/115/bills/sres/sres216/text-versions/is,115_SRES216_IS,SRES,1,Simple Resolutions,IS
115,HR2766,./data/115/bills/hr/hr2766/text-versions/ih,115_HR2766_IH,HR,1,Bills,IH
115,S1282,./data/115/bills/s/s1282/text-versions/rfh,115_S1282_RFH,S,1,Bills,RFH
115,HR2552,./data/115/bills/hr/hr2552/text-versions/ih,115_HR2552_IH,HR,1,Bills,IH
115,HR2514,./data/115/bills/hr/hr2514/text-versions/ih,115_HR2514_IH,HR,1,Bills,IH
115,S871,./data/115/bills/s/s871/text-versions/is,115_S871_IS,S,1,Bills,IS
115,HR382,./data/115/bills/hr/hr382/text-versions/ih,115_HR382_IH,HR,1,Bills,IH
115,HR2436,./data/115/bills/hr/hr2436/text-versions/ih,115_HR2436_IH,HR,1,Bills,IH
115,HR3161,./data/115/bills/hr/hr3161/text-versions/ih,115_HR3161_IH,HR,1,Bills,IH
115,HR175,./data/115/bills/hr/hr175/text-versions/ih,115_HR175_IH,HR,1,Bills,IH
115,HR835,./data/115/bills/hr/hr835/text-versions/ih,115_HR835_IH,HR,1,Bills,IH
115,SRES148,./data/115/bills/sres/sres148/text-versions/ats,115_SRES148_ATS,SRES,1,Simple Resolutions,ATS
115,HJRES11,./data/115/bills/hjres/hjres11/text-versions/ih,115_HJRES11_IH,HJRES,1,Joint Resolutions,IH
115,HR3589,./data/115/bills/hr/hr3589/text-versions/ih,115_HR3589_IH,HR,1,Bills,IH
115,HR998,./data/115/bills/hr/hr998/text-versions/rh,115_HR998_RH,HR,1,Bills,RH
115,HR2311,./data/115/bills/hr/hr2311/text-versions/ih,115_HR2311_IH,HR,1,Bills,IH
115,HR966,./data/115/bills/hr/hr966/text-versions/ih,115_HR966_IH,HR,1,Bills,IH
115,HRES378,./data/115/bills/hres/hres378/text-versions/rh,115_HRES378_RH,HRES,1,Simple Resolutions,RH
115,HR417,./data/115/bills/hr/hr417/text-versions/ih,115_HR417_IH,HR,1,Bills,IH
115,HR1670,./data/115/bills/hr/hr1670/text-versions/ih,115_HR1670_IH,HR,1,Bills,IH
115,HR1516,./data/115/bills/hr/hr1516/text-versions/ih,115_HR1516_IH,HR,1,Bills,IH
115,S353,./data/115/bills/s/s353/text-versions/is,115_S353_IS,S,1,Bills,IS
115,S132,./data/115/bills/s/s132/text-versions/is,115_S132_IS,S,1,Bills,IS
115,S933,./data/115/bills/s/s933/text-versions/is,115_S933_IS,S,1,Bills,IS
115,S210,./data/115/bills/s/s210/text-versions/is,115_S210_IS,S,1,Bills,IS
