Congress,Number,Directory,ID,Subtype,Summary,Type,Version
115,HR2736,./data/115/bills/hr/hr2736/text-versions/ih,115_HR2736_IH,HR,1,Bills,IH
115,S1684,./data/115/bills/s/s1684/text-versions/is,115_S1684_IS,S,1,Bills,IS
115,SRES85,./data/115/bills/sres/sres85/text-versions/is,115_SRES85_IS,SRES,1,Simple Resolutions,IS
115,S546,./data/115/bills/s/s546/text-versions/is,115_S546_IS,S,1,Bills,IS
115,HR2305,./data/115/bills/hr/hr2305/text-versions/ih,115_HR2305_IH,HR,1,Bills,IH
115,HR1652,./data/115/bills/hr/hr1652/text-versions/ih,115_HR1652_IH,HR,1,Bills,IH
115,HR1696,./data/115/bills/hr/hr1696/text-versions/ih,115_HR1696_IH,HR,1,Bills,IH
115,HR797,./data/115/bills/hr/hr797/text-versions/ih,115_HR797_IH,HR,1,Bills,IH
115,HR951,./data/115/bills/hr/hr951/text-versions/rh,115_HR951_RH,HR,1,Bills,RH
115,S77,./data/115/bills/s/s77/text-versions/is,115_S77_IS,S,1,Bills,IS
115,HR534,./data/115/bills/hr/hr534/text-versions/enr,115_HR534_ENR,HR,1,Bills,ENR
115,SRES194,./data/115/bills/sres/sres194/text-versions/is,115_SRES194_IS,SRES,1,Simple Resolutions,IS
115,HR467,./data/115/bills/hr/hr467/text-versions/rh,115_HR467_RH,HR,1,Bills,RH
115,S23,./data/115/bills/s/s23/text-versions/is,115_S23_IS,S,1,Bills,IS
115,SCONRES24,./data/115/bills/sconres/sconres24/text-versions/enr,115_SCONRES24_ENR,SCONRES,1,Concurrent Resolutions,ENR
115,HR2415,./data/115/bills/hr/hr2415/text-versions/ih,115_HR2415_IH,HR,1,Bills,IH
115,HR3818,./data/115/bills/hr/hr3818/text-versions/ih,115_HR3818_IH,HR,1,Bills,IH
115,HR1796,./data/115/bills/hr/hr1796/text-versions/ih,115_HR1796_IH,HR,1,Bills,IH
115,HRES47,./data/115/bills/hres/hres47/text-versions/ih,115_HRES47_IH,HRES,1,Simple Resolutions,IH
115,S605,./data/115/bills/s/s605/text-versions/is,115_S605_IS,S,1,Bills,IS
115,HR2117,./data/115/bills/hr/hr2117/text-versions/ih,115_HR2117_IH,HR,1,Bills,IH
115,HR566,./data/115/bills/hr/hr566/text-versions/ih,115_HR566_IH,HR,1,Bills,IH
115,HRES81,./data/115/bills/hres/hres81/text-versions/ih,115_HRES81_IH,HRES,1,Simple Resolutions,IH
115,HR3427,./data/115/bills/hr/hr3427/text-versions/ih,115_HR3427_IH,HR,1,Bills,IH
